Profession,Year,No. of Emigrants
Painter,2018,6559
Painter,2019,7818
Painter,2020,1905
Painter,2021,2658
Painter,2022,8820
Painter,2023,2142
Pharmacist,1981,19
Pharmacist,1982,17
Pharmacist,1983,15
Pharmacist,1984,12
Pharmacist,1985,10
Pharmacist,1986,7
Pharmacist,1987,8
Pharmacist,1988,10
Pharmacist,1989,12
Pharmacist,1990,14
Pharmacist,1991,18
Pharmacist,1992,24
Pharmacist,1993,19
Pharmacist,1994,14
Pharmacist,1995,15
Pharmacist,1996,15
Pharmacist,1997,19
Pharmacist,1998,13
Pharmacist,1999,9
Pharmacist,2000,14
Pharmacist,2001,16
Pharmacist,2002,19
Pharmacist,2003,27
Pharmacist,2004,22
Pharmacist,2005,18
Pharmacist,2006,23
Pharmacist,2007,36
Pharmacist,2008,54
Pharmacist,2009,51
Pharmacist,2010,46
Pharmacist,2011,48
Pharmacist,2012,167
Pharmacist,2013,187
Pharmacist,2014,171
Pharmacist,2015,335
Pharmacist,2016,365
Pharmacist,2017,1217
Pharmacist,2018,1346
Pharmacist,2019,1121
Pharmacist,2020,67
Pharmacist,2021,66
Pharmacist,2022,76
Pharmacist,2023,29
Photographer,1981,15
Photographer,1982,14
Photographer,1983,12
Photographer,1984,9
Photographer,1985,8
Photographer,1986,6
Photographer,1987,7
Photographer,1988,8
Photographer,1989,10
Photographer,1990,11
Photographer,1991,14
Photographer,1992,19
Photographer,1993,15
Photographer,1994,11
Photographer,1995,12
Photographer,1996,13
Photographer,1997,15
Photographer,1998,10
Photographer,1999,8
Photographer,2000,12
Photographer,2001,13
Photographer,2002,15
Photographer,2003,21
Photographer,2004,18
Photographer,2005,14
Photographer,2006,18
Photographer,2007,29
Photographer,2008,43
Photographer,2009,40
Photographer,2010,36
Photographer,2011,62
Photographer,2012,44
Photographer,2013,116
Photographer,2014,213
Photographer,2015,65
Photographer,2016,19
Photographer,2017,433
Photographer,2018,291
Photographer,2019,173
Photographer,2020,10
Photographer,2021,15
Photographer,2022,62
Photographer,2023,30
Plumber,1981,2554
Plumber,1982,2295
Plumber,1983,2003
Plumber,1984,1561
Plumber,1985,1374
Plumber,1986,968
Plumber,1987,1104
Plumber,1988,1361
Plumber,1989,1600
Plumber,1990,1899
